2727;Avenue de l’Eguillette;Centre de vaccination - Parc d'activité Saint-Ouen-l’Aumône;Saint-Ouen-l'Aumône
2531;Avenue Oscar Lambret;UHSI Lille;Lille
1244;Boulevard Henri Rossignol;Centre de Vaccination - EVRON-;Évron
440;Rue Volney;Centre de Vaccination - MAYENNE - Salle polyvalente;Mayenne
1002;Rue Georges Sand;Ancienne école Jean Giraudoux - Le Blanc;Le Blanc
406;rue Pierre et Marie Curie;centre de vaccination CH EMBRUN;Embrun
345;Boulevard des Justes;Centre de vaccination - CH Calais;Calais
2532;Avenue Oscar Lambret;UHSA LILLE SECLIN;Lille
1005;Avenue du Docteur Schaffner;CH René Muret AP HP (Sevran);Sevran
3164;Boulevard d’Oxford;Centre de PMI et de planification Cannes;Cannes
3166;Rue des Selves;Centre de PMI et de planification Carros;Carros
619;Rue Georges Brassens;Salle polyvalente Cuiry de Gien;Gien
1582;Avenue Georges Clémenceau;Centre de  vaccination CH de Cavaillon;Cavaillon
582;Avenue du Maréchal Leclerc;Louviers : maison des sports et associations;Louviers
1225;Avenue Achille Baumann;"Centre de vaccination UGECAM d'Illkirch-Graffenstaden ";Illkirch-Graffenstaden
2370;"route de Chassy ";Centre de vaccination de Gueugnon;Gueugnon
2948;Chemin des Eaux Decoupees;Centre de vaccination de Sainte Luce;Sainte-Luce
2951;Rue de Metz;Centre de vaccination de Fontoy - Mairie;Fontoy
2000;Place de la Mairie;Centre de Vaccination d'Arette;Arette
3165;Boulevard Carnot;Centre de PMI et de planification Grasse - Maison des Alpes-Maritimes;Grasse
2235;Rue Charles péguy;Grand centre 70;Vesoul
2630;Avenue de l’Île de France;SOS Médecin;Besançon
1284;Rue des Eparges;Lieu de vaccination FRESNES EN WOEVRE - MSP;Fresnes-en-Woëvre
1302;Rue de Bel Air;GOUAREC - Bel Air;Gouarec
2533;Av du Mal de Lattre de Tassigny;UHSI NANCY;Nancy
2489;Parc du Bocage;Centre de vaccination - CPTS BBH, maison communale d'animation;Wormhout
1585;Richeval;Centre de vaccination éphémère de Morne à l'eau;Morne-à-l'Eau
1637;Rue Lavergne;Centre de vaccination - Lormont Carriet - Salle Léo Lagrange;Lormont
2440;Avenue de l’Europe;"Centre de vaccination éphémère - Centre de formation des sapeurs-pompiers de Saint -Priest ";Saint-Priest
2534;Avenue Général Leclerc;UHSA RENNES;Rennes
1657;Allée Bellevue;Centre de vaccination - Centre municipal de santé;Romainville
592;Rue Honoré d’Estienne d’Orves;Centre Municipal de Santé - Gymnase Maurice Baquet;Pantin
23;Av du Mal de Lattre de Tassigny;Centre de vaccination du CH Troyes( ancien LIDL);Troyes
1968;La Haie Gautrais - Accès porte B;BRUZ - Parc Expo Rennes Aéroport;Bruz
39;Rue Auguste Rodin;Polyclinique de Franche-Comté;Besançon
2535;2 Rue Henri le Guilloux;"UHSI RENNES ";Rennes
1287;Rue de la Pocherie;Lieu de vaccination de COMMERCY (salle du Marlat);Commercy
118;salle du chateau, rue villault-duchesnois;Valognes : salle du chateau;Valognes
1283;Rue de l’Abbé Mandre;Lieu de vaccination de DAMVILLERS - MSP;Damvillers
2536;Rue Dubernat;UHSI BORDEAUX;Talence
2986;Rue Jean Paul Sartre;Maison de quartier de la Rivière des Galets;La Possession
2541;Quai des Célestins;UHSI Lyon;Lyon
1611;Chemin du Désert;MSP Usson du Poitou;Usson-du-Poitou
2319;Rue du Contour;Lieu de vaccination d' ETAIN (salle Brasse et Focosi);Étain
2985;Rue des Chauffours;"Centre de vaccination - OFII ";Cergy
2632;place de l'hôtel de ville;CV éphémère Château-Renard;Château-Renard
2537;Rue Cazeaux-Cazalet;UHSA CADILLAC;Cadillac
1397;Avenue Albert Viger;Centre de vaccination - Châteauneuf-sur-Loire - Espace Florian;Châteauneuf-sur-Loire
